station,area_park,len_cycle_path,len_major_road,len_minor_road,num_metro_stations,num_other_commercial,num_restuarants,num_university,num_pop,num_bus_stations,num_bus_routes,walkscore,capacity
6059 - de la Cathédrale / René-Lévesque,0.08018943488379378,0.0,0.3204013593192476,0.12281209936271734,0.0,0.012987012987012988,0.02702702702702703,0.0,0.002204618261170456,0.25,0.6153846153846154,0.967391304347826,0.46808510638297873
6060 - Belmont / Robert-Bourassa,0.0,0.0,0.11462679304438082,0.09603106716615845,0.0,0.06493506493506493,0.05405405405405406,0.0,2.3887975961357974e-05,0.0,0.0,0.9239130434782609,0.23404255319148937
6061 - Mansfield / Ste-Catherine,0.0,0.0,0.0,0.2735621023243802,0.0,0.3116883116883117,0.3783783783783784,0.0,0.0009645548770352837,0.03571428571428571,0.07692307692307693,0.9782608695652174,0.1276595744680851
6062 - Drummond / Ste-Catherine,0.0,0.0,0.005707835742443662,0.18238260818639826,0.0,0.5064935064935064,0.7837837837837838,0.0,0.048131459928846945,0.0,0.0,0.9782608695652174,0.2127659574468085
6063 - Drummond / de Maisonneuve,0.0,0.08954661332803711,0.0,0.11242406122704918,0.0,0.12987012987012986,0.24324324324324326,0.0,0.08032005757413216,0.03571428571428571,0.038461538461538464,0.9782608695652174,0.3404255319148936
6064 - Métro Peel (de Maisonneuve / Stanley),0.0,0.05491948152118871,0.0,0.08151356153815759,0.25,0.15584415584415584,0.21621621621621623,0.0,0.036764775099014414,0.0,0.0,0.967391304347826,0.48936170212765956
6065 - de la Montagne / Sherbrooke,0.0,0.0,0.10826746903909243,0.4172024696929756,0.0,0.15584415584415584,0.1891891891891892,0.0,0.41835861253277506,0.10714285714285714,0.07692307692307693,0.967391304347826,0.1276595744680851
6066 - McTavish / des Pins,0.19178661412717574,0.2747089839612099,0.2420539452343451,0.16013245805335477,0.0,0.0,0.02702702702702703,0.0,0.042339718399329256,0.14285714285714285,0.11538461538461539,0.8043478260869565,0.14893617021276595
6067 - Porte-de-Québec / St-Hubert,0.0012379936129885204,0.13845315696057947,0.13818281046044345,0.41677208072380717,0.0,0.025974025974025976,0.05405405405405406,0.0,0.25426467840876477,0.03571428571428571,0.038461538461538464,0.8043478260869565,0.09574468085106383
6068 - 2e avenue / Jean-Rivard,0.08734756903447498,0.2347501636948873,0.0,0.32574683005295296,0.0,0.03896103896103896,0.0,0.0,0.13155132387560478,0.03571428571428571,0.038461538461538464,0.45652173913043476,0.2127659574468085
6070 - Milton / University,0.05365459529352773,0.2079836041416092,0.103558032626274,0.07167462956877206,0.0,0.0,0.02702702702702703,1.0,0.10965697492811345,0.03571428571428571,0.11538461538461539,0.9456521739130435,0.30851063829787234
6072 - Metcalfe / de Maisonneuve,0.0,0.04070350894595528,0.0,0.07040036305864875,0.25,0.05194805194805195,0.13513513513513514,0.0,0.0061194990572656935,0.0,0.0,0.967391304347826,0.1276595744680851
6073 - de Maisonneuve / Aylmer (ouest),0.0,0.03864712251270814,0.0,0.07441353580632237,0.5,0.025974025974025976,0.08108108108108109,0.0,0.00031451732452118943,0.0,0.0,1.0,0.2765957446808511
6075 - University / des Pins,0.0031376030892999738,0.0,0.18321382436832837,0.0746460834906225,0.0,0.0,0.0,0.0,0.037449499287281994,0.17857142857142858,0.07692307692307693,0.782608695652174,0.23404255319148937
6076 - de Ville-Marie / Ste-Catherine,0.0958440113459237,0.5169768746386073,0.484915640780151,0.6517156944262193,0.0,0.09090909090909091,0.08108108108108109,0.0,0.49001154437388095,0.2857142857142857,0.07692307692307693,0.40217391304347827,0.0425531914893617
6078 - St-Alexandre / Ste-Catherine,0.0,0.0,0.109153636627385,0.29494355383791354,0.0,0.44155844155844154,0.40540540540540543,0.0,0.09728549861422932,0.03571428571428571,0.19230769230769232,1.0,0.1276595744680851
6079 - Hutchison / Prince-Arthur,0.0,0.1854443902122533,0.0,0.13321188889334282,0.0,0.0,0.0,0.0,0.1766007237966284,0.0,0.0,0.9565217391304348,0.1276595744680851
6080 - Métro Vendôme (de Marlowe / de Maisonneuve),0.0,0.5296249764317624,0.250583149251105,0.6026235271914042,0.25,0.09090909090909091,0.10810810810810811,0.0,0.3085844058224186,0.42857142857142855,0.38461538461538464,0.8260869565217391,0.1276595744680851
6081 - Mackay / Ste-Catherine,0.0,0.0,0.036108416617654016,0.12260071168938888,0.0,0.15584415584415584,0.5945945945945946,0.0,0.060057871830528305,0.0,0.0,0.9891304347826086,0.2127659574468085
6082 - 5e avenue / Rosemont,0.0,0.3960819864575536,0.0935015480511053,0.6095024836511229,0.0,0.07792207792207792,0.02702702702702703,0.0,0.39603174083518156,0.07142857142857142,0.07692307692307693,0.7717391304347826,0.0851063829787234
6083 - Square Phillips,0.005417319631576767,0.0,0.028352695480375605,0.09840190772021487,0.0,0.18181818181818182,0.35135135135135137,0.0,0.0396532291153556,0.0,0.0,1.0,0.2978723404255319
